,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
2489,The current capitalist system based on overconsumption is responsible for climate change and the loss of natural biodiversity.,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.2368167622770703,False
2490,"The current government is oppressive. I start dreaming of moving out of the country, or I feel that my mt problems are getting alarmingly worse.",2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
2491,Reckless immigration policy must be stopped! #Ruotsintie,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,1.0,False
2492,"You have a choice, you don't have to go if you pay a lot. You can also make your own hobby opportunities.",8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,0.5774196901119024,False
2493,The transition to plant-based food production should be supported with tax money,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.4099745367817272,False
2494,"Instead of fur farms, solar panels and medicinal plants",3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.8655833365028428,False
2495,"Immigration should be discussed more neutrally and recognizing the negative facts, while still avoiding racism.",7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.07998747066257621,False
2496,"Finland's pension system could be reformed so that already at the age of 55 you could get a part-time pension if you wanted, and at the age of 70 you could get an old-age pension.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2497,People who hate white-cheeked geese are insane.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2498,Get out of the EU. And it strengthens entrepreneurship and thereby the economy.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2499,"I feel that the social discussion atmosphere is polarized and favors extreme opinions, which does not help to find solutions",2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
2500,It should be possible to limit the use of cell phones in schools in order to improve children's well-being.,19,19_phones_cell_schools_mobile,"['phones', 'cell', 'schools', 'mobile', 'use', 'during', 'lesson', 'school', 'phone', 'childrens']","['Mobile phones should be collected from students in schools during the hours when mobile phones are not needed for teaching.', 'The use of cell phones must be decided in schools, not in parliament.', 'In schools, Cell Phones can be used during breaks, but during classes the focus is on studying and Cell Phones are only displayed when necessary.']",phones - cell - schools - mobile - use - during - lesson - school - phone - childrens,0.37382796115593453,False
2501,It should be possible to discuss the use of illegal substances in mental health services without stigma.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2502,The lack of community in the school world increases the disruptive behavior of young people and makes joining gangs more attractive.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2503,Our culture is too individualistic.,21,21_culture_luxury_cultural_cultures,"['culture', 'luxury', 'cultural', 'cultures', 'countries', 'our', 'supported', 'funds', 'is', 'part']","['Culture.. luxury or not, you should manage on your own', 'Culture is not a luxury service', 'Culture is a luxury and does not deserve state support']",culture - luxury - cultural - cultures - countries - our - supported - funds - is - part,1.0,False
2504,"Too much independence and self-direction is expected of children and young people in the school world, and this weakens their ability to cope.",4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.7541793988710613,False
2505,A high school-aged youth cannot be expected to have the ability to make far-reaching career-related decisions.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2506,Emphasizing yo results in university selection leaves those young people who do not mature as quickly in a worse position.,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.7673044730747327,False
2507,"Mat. As a Phys.Chemistry teacher, I definitely agree",4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.5774853377566566,False
2508,Today's working life is very stressful.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2509,Unhealthy food should be taxed more.,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.3199534818122981,False
2510,The use of substances should not be a problem in accessing mental health services.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2511,The cultural sector is an important business that creates a lot of jobs and improves the mental well-being of Finns.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.4427736738600158,False
2512,"Finland should intervene from Chinese online stores to the non-ecological fast fashion trend, which especially teaches young people about flashy consumption",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2513,The disadvantage of immigrants makes ganging worse,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.10992544381730367,False
2514,Finland wastes valuable natural resources on the cheap to foreign mining companies.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.8817785404022397,False
2515,Privatizing state-owned companies is a bad thing.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.7851263538763434,False
2516,"An unnecessary confrontation is created between the public and private sectors, even though both are needed and they support and complement each other.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2517,Yle's production is of high quality.,26,26_yles_news_yle_programs,"['yles', 'news', 'yle', 'programs', 'piece', 'tv', 'secured', 'at', 'on', 'funding']","['Yle talk radio channel should be restored in its original form. Only news and current affairs programs, not the same music and silly podcasts.', 'Yle\'s news should have a ""news guarantee"" of at least one positive piece of news.', 'Yle should tell at least one piece of good news in every news broadcast that would increase optimism and reduce fear and anxiety']",yles - news - yle - programs - piece - tv - secured - at - on - funding,1.0,False
2518,The criminal convictions of persons in political office should be dealt with more forcefully than at present.,18,18_crimes_criminal_lowered_punishment,"['crimes', 'criminal', 'lowered', 'punishment', 'sentence', 'age', 'liability', 'for', 'sentences', 'limit']","['The criminal liability age limit should be lowered to 13 years.', 'The age limit for criminal liability must be lowered.', 'The criminal liability age limit (15 years) should be lowered.']",crimes - criminal - lowered - punishment - sentence - age - liability - for - sentences - limit,1.0,False
2519,The new government's actions do not sufficiently take into account the fragmentation and instability of today's working life. A full-time job is not enough for everyone.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2520,Finnish media is reliable.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.9218016970151865,False
2521,A person who lives on social support may be more useful to society than a person who does massive damage to the environment as a job.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2522,Finland should impose criminal sanctions on ISIS wives.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2523,New construction in Helsinki spoils the cityscape and the comfort of the city.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2524,Having a child scares me because I don't have an optimistic view of the state of the country or my own future.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2525,Immigration takes gender equality backwards in Finland.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2526,I believe that the existence of humanity is threatened in my own lifetime.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2527,"In primary school, the focus should be on learning basic skills, reading, writing, arithmetic, exercise and friendship skills.",4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,1.0,False
2528,Politics is done too short-term.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2529,The time of capitalism is over.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.35879101462052077,False
2530,I fear climate change,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.5976044067946348,True
2531,Children's hobbies get serious too early. Hobbies should also remain just a hobby without having to compete.,8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,1.0,False
2532,The people are getting stupid.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2533,The government should take nature loss into account better in the government program.,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.2968924734680286,False
2534,Empathy is part of decision making,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.7686562998965741,False
2535,The current government is pushing Finland into recession,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2536,"It is necessary to encourage people to take out their own insurance policies, the state should compensate those who take out their own insurance policies in taxation.",10,10_health_care_doctors_nurses,"['health', 'care', 'doctors', 'nurses', 'mental', 'services', 'public', 'medical', 'be', 'in']","['Occupational health care should be nationalized and taxes set at a level that supports the public health care system', 'Health care should be privatized and instead of public health care, a national insurance system should be built', 'Occupational health care must be abolished and all citizens must be transferred to the same health care system.']",health - care - doctors - nurses - mental - services - public - medical - be - in,0.3333536787852542,False
2537,Curbing the loss of nature requires prioritizing the key species of ecosystems before humans. People also benefit from this.,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.32604823273940237,False
2538,Sustainable actions should earn tax breaks,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2539,Adult education support should not be abolished,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,1.0,False
2540,Kolari Hannukai shouldn't be built from a well,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2541,Metsähallitus should stop logging in old forests,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,1.0,False
2542,The government must fire openly racist MPs,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.1784930541386918,False
2543,Jussi Halla-aho is a human monster,25,25_president_elected_savo_pohjois,"['president', 'elected', 'savo', 'pohjois', 'alexander', 'jussi', 'hallaaho', 'province', 'should', 'yisrael']","['Mika Aaltola should be elected president', 'Alexander Stubb should be elected president', 'Jussi Halla-aho should be elected president']",president - elected - savo - pohjois - alexander - jussi - hallaaho - province - should - yisrael,0.9547789415564771,False
2544,It is enough that ET is opened as a subject for everyone.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.760990402022824,False
2545,It starts going so-called Vs. You should do something...🤔,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2546,What water,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2547,Finns should understand that the community must take care of its elderly. Not everything can be paid for by society.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.6841543516031334,False
2548,Training is free. Students can reasonably take out loans. The repayment of the student loan can be relaxed if necessary.,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.9079423483262239,False
2549,Support forms for entrepreneurs must be modernized.,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,0.5771225175388347,False
2550,"The more fuel is mixed, the more it is consumed. On strike, you can work for a long time to get the lost money back.",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
2551,Long-term remote work should be possible from anywhere in the world with little effort,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2552,Fine,20,20_yes_uh_this_good,"['yes', 'uh', 'this', 'good', 'humdinger', 'huh', 'hey', 'pussy', 'thanks', 'oh']","['Yes', 'Yes.', 'Yes']",yes - uh - this - good - humdinger - huh - hey - pussy - thanks - oh,1.0,False
2553,The expensiveness and competitiveness of team sports drive some children away from sports.,8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,1.0,False
